May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/pacman.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/paperboy.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/samsh5sp.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/shocktro.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/shocktroa.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/shocktr2.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/ssriders.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/dinou.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/dkong.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/atetris.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	System "arcade" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/dreamcast" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/dreamcast/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/power-stone-2.cdi" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/genesis" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/genesis/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/soul-star.cue" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/comix-zone.gen" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/toejam-earl-2.gen" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	System "dreamcast" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	  Unknown platform for system "gamecube" (platform "gamecube" from list "gamecube")
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/gamecube" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/gamecube/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/baldurs-gate-dark-alliance.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/custom-robo.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/shrek-superslam.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/eternal-darkness.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/fight-night-round-2.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/luigis-mansion.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/mario-kart-double-dash.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/mario-party-7.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/mario-superstar-baseball.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/naruto-clash-of-ninja-2.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/pikmin.gcz" does not exist! Ignoring.
